 , , ,Key information,,,,,Investments,,,Frame agreement,,,,,,Field development,,,,Subsea development,,,,,,,,, Drilling wells,,,Remaining oil and gas reserves,,,,Total reserves estimate,,,,Export technology,,,Destination,,,Helicopter,,,Supply base,Statistics,,,,,,,,, ,, , , , , , , ,Extra,TEMP_Top reservoir depth, , 
Field name,Activity status,Operator,Discovery,On stream,Prod. license,"Location (NS, NOS, BS)",Water depth (m),Total,So far in 2010,Remaining inv.,M&M,M&M contract expires,ISO,ISO contract expires,Drilling and well,Drilling and well contract expires,Production vessel/structure,Production/Drilling/Quarters,Material,Additional info,Subsea company,Subsea template,Total trees,FMC,AKS,GE,CAM,Subsea tieback,Tieback distance (km),Exploration,Development,Top reservoir depth,Oil (Sm3),Oil barrels (bbl),At current oil price,Gas (Sm3),Oil (Sm3),Gas (Sm3),Condensate (Sm3),NGL (mt),Oil,Gas,Condensate,Oil,Gas,Condensate,Flight service,Flight base,Offshore based,Supply base,Top water depth,Top investments,Top remaining investments,Top oil discovery,Top gas discovery,Top remaining oil reserves,Top remaining gas reserves,Top remaining condensate reserves,Top remaining NGL reserves,Field information,Captionimage,Imagebase,Source,NPDID owner,NPDID field,NPDID wellbore,NPDID company,Lastupdated,Investment details,From,Last Edited,Created On
VIGDIS,PRODUCING,Statoil,1986,1997,89,NS (N),280,"18,043,200,000","17,685,990,000","357,210,000",,,,,,,Subsea template,,Steel,,FMC/GE Oil & Gas ,4,32,10,,22,,Snorre A,7,15,43,"2,600","15,000,000","94,350,000","10,850,250,000","200,000,000","66,600,000","1,900,000,000",0,"1,200,000",Pipeline,*Injisert tilbake,,*Gullfaks A,*Injisert tilbake,,,,,Saga fjordbase(Florø),43,44,74,17,82,26,81,24,40,"Vigdis er et oljefelt som ligger i den nordlige delen av Nord­sjøen, mellom feltene Snorre og Gullfaks i Tampenområdet. Feltet omfatter flere funn og er bygget ut med havbunnrammer som er knyttet til Snorre A. Brønnstrømmen blir overført til Snorre A i to rørledninger. Vann til injeksjon kommer i ein rørledning fra Snorre A. Oljen fra Vigdis blir prosessert i en egen modul på Snorre A.",Subsea template,"Vigdis-1.jpg, Vigdis-2.jpg, Vigdis-3.jpg",,21516,43732,878,17237817,,,"2,200",2/14/2014 13:35:34,6/8/2012 18:47:57
VIGDIS NORDØST,PRODUCING,Statoil,2009,2013,89,NS (N),292,"4,334,400,000",0,"4,334,400,000",,,,,,,Subsea template,,Steel,,,1,0,,,,,Snorre A,7,,4,,0,0,0,0,0,0,0,0,,,,,,,,,,,40,82,41,114,114,100,94,24,79,"Visund Nordøst er et oljefunn som ligger i den nordlige delen av Nordsjøen, i samme område som Stjerne(tidligere Katla). Vigdis nordøst-feltet er bygget ut med en havbunnsramme med fire brønner som knyttes opp mot Snorre A, omtrent 7 km unna",Subsea template,,,,,,,,,,2/14/2014 13:34:01,6/8/2012 18:47:57
VILJE,PRODUCING,Marathon Oil Norge,2003,2008,036 D,NS (M),120,"2,318,400,000","2,176,994,000","141,406,000",,,,,,,Subsea template,,Steel,,Aker Solutions,2,2,,2,,,Alvheim FPSO,19,1,8,"2,150","6,200,000","38,998,000","4,484,770,000",0,"13,600,000",0,0,0,Pipeline /Oil tanker,-,-,*Alvheim,-,-,,,,Tananger,73,104,82,48,114,44,94,24,79,"Vilje er et oljefelt i den midtre delen av Nordsjøen, omtrent 20 km nordøst for Alvheim og like nord for Heimdalfeltet. Feltet er bygget ut med to havbunn­brønner som er knyttet opp til produksjonskipet «Alvheim FPSO».",Subsea template,,,5081703,3392471,4278,17237817,,,,2/14/2014 13:34:23,6/8/2012 18:47:57
VISUND,PRODUCING,Statoil,1986,1999,VISUND INSIDE,NS (N),335,"29,635,200,000","26,796,812,000","2,838,388,000",Aker Solutions,2016,Beerenberg Corp,,Odfjell Drilling,2016,Semi-submersible,PDQ,Steel,,Aker Solutions,1(shut down),33,,33,,,Gulfaks A,22,12,50,"3,000","11,500,000","72,335,000","8,318,525,000","44,300,000,000","33,900,000","51,300,000,000",0,"6,400,000",Pipeline / Oil tanker,Pipeline,,NA,Kollsnes,,HSL,Florø,,Saga fjordbase(Florø),30,27,50,27,13,35,8,24,13,"Visund er et oljefelt som ligger øst for Snorrefeltet i den nordlige delen av Nordsjøen. Utbyggingsløsingen omfatter en halvt ned­senkbar integrert bosted­, bore-­ og prosessinnretning i stål (Visund A). Den nordlige delen av Visund er bygget ut med en innretning på havbunnen, omtrent 10 km nord for Visund A, men denne har vert stengt ned siden 2006.",Semi-submersible,"Visund-1.jpg, Visund-2.jpg, Visund-3.jpg",,40726,43745,854,17237817,,,"2,900",2/21/2014 11:40:02,6/8/2012 18:47:57
VISUND NORD,PRODUCING,Statoil,2008,2013,120,NS (N),380,"3,300,000,000",,"3,300,000,000",,,,,,,,,,,FMC,1,2,2,,,,Visund A,10,,,,"4,610,000","28,996,900","3,334,643,500",,"4,610,000",,,,Pipeline,,,,,,,,,Saga fjordbase(Florø),7,91,46,77,NA,52,NA,NA,NA,"Visund Nord er en separat undervannsutbygging om lag 10 kilometer fra Visund-plattformen, og en del av eksisterende Plan for utbygging og drift (PUD) for Visund. Utbyggingen omfatter en standard havbunnsramme med to brønner koblet til Visund A-plattformen. Visund Nord er det sjette prosjektet av totalt 12 i Statoils hurtigutbyggingsportefølje (fast-track), som er satt i produksjon.",,,,,,,,,,,2/21/2014 11:40:29,2/21/2014 10:34:03
VISUND SØR,PRODUCING,Statoil,2008,2012,VISUND INSIDE,NS (N),290,"5,644,800,000","832,608,000","4,812,192,000",Aker Solutions,2016,Beerenberg Corp,,,,Subsea template,,Steel,,FMC,1,4,4,,,,Gullfaks C,22,5,8,"2,900","2,700,000","16,983,000","1,953,045,000","7,300,000,000","2,700,000","7,300,000,000",0,"900,000",,,,,,,,,,Saga fjordbase(Florø),41,70,38,89,53,66,33,24,48,"Visund Sør(tidligere Pan Pandora) ligger 10 km fra både Gullfaks C- og Visund A-plattformene i Nordsjøen, og blir utbygget med et undervannsanlegg. Dette vil bestå av ramme med plass til fire brønner, der det vil bli boret tre brønner som blir knyttet til Gullfaks C for prosessering.",Subsea template,"Visund Soer-1.jpg, Visund Soer-2.jpg",,40726,20461008,5943,17237817,,,"2,800",11/25/2013 8:38:22,6/8/2012 18:47:57
VOLUND,PRODUCING,Marathon Oil Norge,1994,2009,150,NS (M),130,"3,427,200,000","3,355,511,000","71,689,000",,,,,,,Subsea template,,Steel,,Aker Solutions,1,4,,4,,,Alvheim FPSO,10,5,13,"2,000","4,000,000","25,160,000","2,893,400,000","500,000,000","8,600,000","900,000,000",0,0,Pipeline/ Oil tanker,Pipeline,,*Alvheim,St.Fergus(GB),,,,,Tananger,65,89,90,62,96,55,73,24,79,"Volund er et oljefelt som ligger i den midtre delen av Nord­sjøen, omtrent 10 km sør for Alvheim. Feltet er bygget ut med et havbunnanlegg som er knyttet til produksjonsskipet «Alvheim FPSO», med tre horisontale brønner.",Subsea template,"Volund-1.jpg, Volund-2.jpg",,22012,4380167,2244,20485291,,,,4/19/2013 10:35:17,6/8/2012 18:47:57
VOLVE,PRODUCING,Statoil,1993,2008,046 BS,NS (M),80,"3,326,400,000","3,326,024,000","376,000",,,,,,,Jackup,PDQ,Steel,FSO Navigon Saga,,,0,,,,,Sleipner A (gas),8,5,17,"3,120","1,000,000","6,290,000","723,350,000","100,000,000","8,700,000","800,000,000","100,000","200,000",Oil tanker,Pipeline,,NA,*Sleipner A,,,,,Dusavik,113,90,106,61,97,79,84,20,65,"Volve er et oljefelt som ligger i den midtre delen av Nord­sjøen, omtrent 8 km nord for Sleipner Øst. Feltet er bygget ut med den oppjekkbare prosess­ og boreinnretningen Mærsk Inspirer og et skip for lagring av stabilisert olje, «Navion Saga».",Jackup,"Volve-1.jpg, Volve-2.jpg, Volve-3.jpg",,4227659,3420717,2105,17237817,,,"2,750",6/5/2013 13:49:47,6/8/2012 18:47:57
YTTERGRYTA,PRODUCING,Statoil,2007,2009,62,NOS,300,"1,612,800,000","1,559,541,000","53,259,000",,,,,,,Subsea template,,Steel,,FMC,1,1,1,,,,Midgard (Åsgard field),33,1,1,"2,490",0,0,0,"1,000,000,000","300,000","2,200,000,000",0,"400,000",,,,,*Midgard/*Åsgård,,,,,Vestbase AS(Kristiansund),35,108,95,109,74,100,64,24,60,"Yttergryta ligger omtrent 5 km nord for Midgard­forekomsten i Norskehavet. Feltet er bygget ut med en havbunnramme som er knyttet til Midgard, og gassen blir produsert fra en brønn.",Subsea template,"Yttergryta-1.jpg, Yttergryta-2.jpg",,21292,4973114,5562,17237817,,,"2,390",2/14/2014 13:34:33,6/8/2012 18:47:57
ALBUSKJELL,SHUT DOWN,ConocoPhillips,1972,1979,18,NS (S),70,"10,766,000,000","10,766,000,000",0,,,,,,,Fixed platform,PDQ,Steel,,,,0,,,,,,,3,24,,0,0,0,0,"7,400,000","15,600,000,000",0,"1,000,000",Pipeline,Pipeline,,*Ekofisk,*Ekofisk,,,,,Tananger,123,53,107,65,36,100,94,24,46,"Albuskjell er et olje- og gass/kondensatfelt som ligger 21 km nordvest for Ekofisksenteret. Albuskjell ble bygget ut med to plattformer, Albuskjell 1/6 A og 2/4 F. Feltet ble stengt ned i 1998.",Fixed platform,"Albuskjell-1.jpg, Albuskjell-2.jpg, Albuskjell-3.jpg",,20900,43437,239,2410696,20.02.2012,,,4/24/2013 14:08:18,6/8/2012 18:47:57
COD,SHUT DOWN,ConocoPhillips,1968,1977,18,NS (S),75,"4,438,255,000","4,438,255,000",0,,,,,,,Fixed platform,PDQ,Steel,,,,0,,,,,,,4,9,,0,0,0,0,"2,900,000","7,300,000,000",0,"500,000",,,,,,,,,,,117,80,107,88,53,100,94,24,55,"Cod er et oljefelt 75 km nordvest for Ekofisk-senteret. Cod 7/11 A er en kombinert bore-, produksjons- og boligplattform på norsk sokkel. Et eget flammetårn er forbundet med plattformen via en gangbro. Selve plattformen ble knyttet til Ekofisk 2/4 R med en olje/gass rørledning til Mimefeltet og til Ulafeltet. Plattformen ble stengt og fraflyttet i 1998.",Fixed platform,"Cod-2.jpg, Cod-1.jpg",,20900,43785,149,2410696,20.02.2012,,,4/19/2013 9:47:13,6/8/2012 18:47:57
EDDA,SHUT DOWN,ConocoPhillips,1972,1979,18,NS (S),71,"7,941,279,000","7,941,279,000",0,,,,,,,Fixed platform,PDQ,Steel,,,,0,,,,,,,3,10,,0,0,0,0,"4,800,000","2,000,000,000",0,"200,000",,,,,,,,,,,122,65,107,76,78,100,94,24,65,"Edda-reservoaret ligger i blokk 2/7 på den norske kontinentalsokkelen 12 km sydvest for Ekofisk-senteret. Opprinnelig var Edda 2/7 C konstruert som en kombinert bore-, produksjons- og boligplattform med separat flammetårn og to undersjøiske rørledninger til Ekofisk 2/4 R. Produksjonen ble avsluttet i 1998 og i 1999 ble plattformen fjernovervåket fra Ekofisk 2/4 K og fraflyttet.",Fixed platform,"Edda-1.jpg, Edda-2.jpg, Edda-3.jpg",,20900,43541,263,2410696,20.02.2012,,,4/19/2013 9:48:24,6/8/2012 18:47:57
FRIGG,SHUT DOWN,Total E&P Norge,1971,1977,FRIGG UNIT,NS (N),110,"42,347,592,000","34,967,611,000","7,379,981,000",,,,,,,Fixed platform,PDQ,Steel/concrete,,GE Oil & Gas ,,5,,,5,,,,17,52,,0,0,0,0,0,"116,200,000,000","500,000",0,,,,,,,,,,Dusavik,90,16,28,114,7,100,94,15,79,Friggfeltet er et gassfelt i Nordsjøen. Produksjonen på Frigg startet i 1977 og ble avsluttet i oktober 2004.,Fixed platform,Frigg-1.jpg,,45634,43555,190,2410708,,,,10/17/2013 8:00:55,6/8/2012 18:47:57
FRØY,SHUT DOWN,Det Norske Oljeselskap,1987,1995,364,NS (N),117,"8,347,449,600","7,931,980,000","415,469,600",,,,,,,Fixed platform,P,Steel,Remotly operated from Frigg,,,0,,,,,,,5,12,,0,0,0,0,"5,600,000","1,600,000,000","100,000",0,,,,,,,,,,Dusavik,84,60,71,73,86,100,94,20,79,"Frøy er et olje- og kondensatfelt ved Friggfeltet. Frøy produserte gass, olje og kondensat mellom 1992 og 2001. Frøy skal etter planen bygges ut med en oppjekkbar plattform med bore- og produksjonsutstyr som skal leies fra et serviceselskap. Etter planen skal boring og produksjon starte igjen i 2013.",Fixed platform,"Froy-1.jpg, Froy-2.jpg",,3810636,43597,884,17342870,,,,4/19/2013 9:56:49,6/8/2012 18:47:57
GLITNE,SHUT DOWN,Statoil,1995,2001,048 B,NS (M),110,"3,024,000,000","2,934,999,000","89,001,000",,,,,,,FPSO,P,Steel,FPSO Petrojarl 1,,,0,,,,,,,2,12,"2,150",0,0,0,0,"8,900,000",0,0,0,Oil tanker,,,NA,,,BSH,Stavanger,,Dusavik,90,95,88,60,114,100,94,24,79,"Glitne er et oljefelt som ligger i den midtre delen av Nord­sjøen, 40 km nord for Sleipnerområdet. Feltet er bygget ut med et produksjons­ og lagerskip, «Petrojarl 1», som er knyttet til seks horisontale produksjonsbrønner og en vanninjeksjons­brønn. Den 24. februar 2013 ble siste produksjonsbrønn på Glitne stengt, etter 12 år med produksjon på feltet.",FPSO,"Glitne-1.jpg, Glitne-2.jpg",,1342723,1272071,2635,17237817,,,,4/26/2013 9:55:27,6/8/2012 18:47:57
LILLE-FRIGG,SHUT DOWN,Statoil,1975,1994,362,NS (N),155,"5,717,953,000","5,717,953,000",0,,,,,,,Subsea template,,Steel,,Aker Solutions,3,3,,3,,,,,3,4,,0,0,0,0,"1,300,000","2,200,000,000",0,0,,,,,,,,,,Dusavik,60,69,107,99,74,100,94,24,79,Lille-Frigg er et oljefelt ved Friggfeltet. Utvinning fra feltet foregikk fra 1994 til 1999. Lille-Frigg ble bygget ut som et satellittfelt med tilknytning til Friggfeltet via TCP2-plattformen.,Subsea template,"Lille-Frigg-1.jpg, Lille-Frigg-2.jpg",,3810565,43583,356,17237817,,,,4/19/2013 10:11:29,6/8/2012 18:47:57
MIME,SHUT DOWN,Lundin Norway,1982,1993,301,NS (S),80,"623,185,920","511,070,000","112,115,920",,,,,,,,,,,GE Oil & Gas ,,1,,,1,,,,5,,,0,0,0,0,"400,000","100,000,000",0,0,,,,,,,,,,,113,114,86,106,109,100,94,24,79,Mime er et lite oljefelt ca. 7 km nordøst for Cod-feltet i blokk 7/11. Installasjonene på Mime besto av en undervannsinstallasjon som ble kontrollert fra Codplattformen.,,,,2490380,43792,42,2767314,,,,12/19/2013 13:15:09,6/8/2012 18:47:57
NORDØST FRIGG,SHUT DOWN,,1974,1983,026,NS (N),102,"4,599,705,600","4,554,368,000","45,337,600",,,,,,,,,Concrete,,,,6,6,,,,,,1,7,,0,0,0,0,0,"11,600,000,000","100,000",0,,,,,,,,,,Dusavik,100,76,98,114,41,100,94,20,79,Nordøst Frigg er et gassfelt ved Friggfeltet. Det ble utvunnet gass fra feltet fra 1983 til 1993. Nordøst Frigg ble bygget ut som et satellittfelt til Friggfeltet,,"Nordost Frigg-1.jpg, Nordost Frigg-3.jpg",,,43568,350,,,,,5/13/2013 12:44:30,6/8/2012 18:47:57
ODIN,SHUT DOWN,,1974,1984,,NS (N),100,"6,528,614,400","6,479,415,000","49,199,400",,,,,,,,,,,,,0,,,,,,,2,11,,0,0,0,0,0,"27,300,000,000","200,000",0,,,,,,,,,,,102,67,96,114,25,100,94,19,79,Odin er et gassfelt nord for Friggfeltet. Man utvant naturgass her mellom 1984 og 1994.,,Odin-1.jpg,,,43610,392,,,,,4/19/2013 10:14:49,6/8/2012 18:47:57
ØST FRIGG,SHUT DOWN,Statoil,1973,1988,362,NS (N),102,"3,983,350,000","3,983,350,000",0,,,,,,,Subsea template,,Steel,,,,0,,,,,,,4,5,,0,0,0,0,0,"9,200,000,000","100,000",0,,,,,,,,,,Dusavik,100,86,107,114,46,100,94,20,79,"Øst frigg ble oppdaget i 1973, og er et satellittfelt ca. 18 km øst for Frigg, i blokkene 25/1 og 25/2. Feltet var, etter Nordøst Frigg, det andre undervannsfeltet på norsk sokkel med fjernkontrollerte brønner. Feltet var det første helt plattformløse feltet i drift i Nordsjøen. Produksjonen ble fjernstyrt fra Frigg-feltet, der gassen også ble behandlet. To bunnrammer (Øst Frigg A og Øst Frigg B) med tilbehør og en samle/ pumpestasjon (Øst Frigg C MS- Manifold station) var alt som ble plassert på Øst- Frigg. Ordinær produksjon for feltet startet i 1988, og stoppet i 1997.",Subsea template,"OstFrigg-1.jpg, OstFrigg-2.jpg",,3810565,43576,353,17237817,,,,4/19/2013 10:37:19,6/8/2012 18:47:57
TOMMELITEN GAMMA,SHUT DOWN,ConocoPhillips,1978,1988,TOMMELITEN UNIT,NS (S),83,"4,568,457,600","4,265,405,000","303,052,600",,,,,,,Subsea template,,Steel,,GE Oil & Gas ,,7,,,7,,,,5,7,,0,0,0,0,"3,900,000","9,700,000,000",0,"500,000",,,,,,,,,,Dusavik,110,77,76,80,44,100,94,24,55,"Tommeliten-feltet ligger 11,8 km vest for Edda-plattformen og består av to forekomster; Gamma og Alpha. Gamma ble bygget ut med et undervanns produksjonssystem. Alpha- strukturen er ikke bygd ut enda. Ordinær produksjon for feltet startet i 1988, og stoppet i 1998.",Subsea template,,,41411,43444,247,2410696,,,,10/17/2013 8:00:57,6/8/2012 18:47:57
VEST EKOFISK,SHUT DOWN,ConocoPhillips,1970,1977,18,NS (S),76,"3,465,428,000","3,465,428,000",0,,,,,,,Fixed platform,PDQ,Steel,,,,0,,,,,,,1,20,,0,0,0,0,"12,200,000","26,000,000,000",0,"1,400,000",,,,,,,,,,,116,88,107,50,27,100,94,24,37,"Vest Ekofisk er et oljefelt på Ekofiskområdet. Plattformen Vest-Ekofisk 2/4 D ble installert i 1973 og produksjonen startet i 1977. Vest-Ekofisk 2/4 D ble stengt i juli 1998. Produksjonen ble stanset i forbindelse med at Ekofisk II ble satt i drift. Feltet ligger ca. 4,5 km vest for det egentlige Ekofisk-feltet.",Fixed platform,"VestEkofisk-1.jpg, VestEkofisk-2.jpg, VestEkofisk-3.jpg, VestEkofisk-4.jpg",,20900,43513,181,2410696,,Investeringer...,,4/19/2013 10:32:49,6/8/2012 18:47:57
PIL,,VNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
